country,%_of_population_living,gdp_per_capita,unemployment_rate
Benin,0.001,706.0533749,..
"Burkina Faso",0.001,475.1100122,3.299999952
"Cabo Verde",0.400,3186.826892,..
"C̫te d'Ivoire",0.003,1061.154064,..
Ghana,0.001,1078.160509,..
Guinea,0.001,659.992723,..
Guinea-Bissau,0.002,493.0704969,..
Liberia,0.001,396.6017613,..
Mali,0.001,596.6901888,11.71000004
Mauritania,0.231,1048.162138,..
Niger,0.000,292.2197341,..
Nigeria,0.000,1883.461311,..
Senegal,0.000,1222.372918,..
"Sierra Leone",0.001,360.3721418,..
Togo,0.002,449.1442328,..
